first_reading	second_reading	third_reading
	2022-10-02T15:09Z;101:28;00:30	2022-10-02T16:23Z;19:53;00:05
	2022-10-02T15:09Z;101:56;00:28	2022-10-02T16:23Z;19:59;00:05
	2022-10-02T15:10Z;102:26;00:29	2022-10-02T16:23Z;20:04;00:05
	2022-10-02T15:10Z;102:56;00:30	2022-10-02T16:23Z;20:10;00:05
	2022-10-02T15:11Z;103:23;00:27	2022-10-02T16:23Z;20:15;00:05
	2022-10-02T15:11Z;103:57;00:33	2022-10-02T16:23Z;20:20;00:05
	2022-10-02T15:12Z;104:30;00:32	2022-10-02T16:23Z;20:25;00:05
	2022-10-02T15:13Z;105:08;00:38	2022-10-02T16:23Z;20:31;00:05
	2022-10-02T15:13Z;105:36;00:28	2022-10-02T16:23Z;20:36;00:05
	2022-10-02T15:13Z;106:05;00:28	2022-10-02T16:23Z;20:42;00:05
	2022-10-02T15:14Z;106:37;00:31	2022-10-02T16:24Z;20:47;00:05
	2022-10-02T15:15Z;107:11;00:33	2022-10-02T16:24Z;20:52;00:05
	2022-10-02T15:15Z;107:40;00:29	2022-10-02T16:24Z;20:58;00:05
	2022-10-02T15:16Z;108:07;00:27	2022-10-02T16:24Z;21:03;00:05
	2022-10-02T15:16Z;108:37;00:29	2022-10-02T16:24Z;21:08;00:05
	2022-10-02T15:17Z;109:06;00:29	2022-10-02T16:24Z;21:14;00:05
	2022-10-02T15:17Z;109:32;00:26	2022-10-02T16:24Z;21:19;00:05
	2022-10-02T15:17Z;110:02;00:29	2022-10-02T16:24Z;21:24;00:05
	2022-10-02T15:18Z;110:30;00:27	2022-10-02T16:24Z;21:30;00:05
	2022-10-02T15:18Z;110:59;00:28	2022-10-02T16:24Z;21:35;00:05
	2022-10-02T15:19Z;111:26;00:26	2022-10-02T16:24Z;21:40;00:05
	2022-10-02T15:19Z;111:53;00:27	2022-10-02T16:25Z;21:46;00:05
	2022-10-02T15:20Z;112:21;00:27	2022-10-02T16:25Z;21:51;00:05
	2022-10-02T15:20Z;112:50;00:29	2022-10-02T16:25Z;21:57;00:05
	2022-10-02T15:21Z;113:21;00:31	2022-10-02T16:25Z;22:03;00:06
	2022-10-02T15:21Z;113:49;00:27	2022-10-02T16:25Z;22:08;00:05
	2022-10-02T15:22Z;114:15;00:26	2022-10-02T16:25Z;22:13;00:05
	2022-10-02T15:22Z;114:46;00:30	2022-10-02T16:25Z;22:19;00:05
	2022-10-02T15:23Z;115:15;00:28	2022-10-02T16:25Z;22:24;00:05
	2022-10-02T15:23Z;115:42;00:27	2022-10-02T16:25Z;22:30;00:05
	2022-10-02T15:24Z;116:09;00:26	2022-10-02T16:25Z;22:35;00:05
